ano;cnae_2_descricao_secao;media_idade;variable
2007;Administração Pública, Defesa E Seguridade Social;39.518105009052505;Admissões
2007;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;30.529411764705884;Admissões
2007;Alojamento E Alimentação;29.2103670071888;Admissões
2007;Artes, Cultura, Esporte E Recreação;27.974193548387095;Admissões
2007;Atividades Administrativas E Serviços Complementares;30.113767019667172;Admissões
2007;Atividades Financeiras, De Seguros E Serviços Relacionados;22.857664233576642;Admissões
2007;Atividades Imobiliárias;31.19607843137255;Admissões
2007;Atividades Profissionais, Científicas E Técnicas;28.30952380952381;Admissões
2007;"Comércio; Reparação De Veículos Automotores E Motocicletas";27.143972246313965;Admissões
2007;Construção;34.248536870854466;Admissões
2007;Educação;31.684918347742556;Admissões
2007;Indústrias De Transformação;29.34698756773988;Admissões
2007;Informação E Comunicação;28.797892720306514;Admissões
2007;Outras Atividades De Serviços;30.881336405529954;Admissões
2007;Saúde Humana E Serviços Sociais;29.386666666666667;Admissões
2007;Serviços Domésticos;28.0;Admissões
2007;Transporte, Armazenagem E Correio;30.473061224489797;Admissões
2007;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;30.873417721518987;Admissões
2008;Administração Pública, Defesa E Seguridade Social;39.79173838209983;Admissões
2008;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;28.345454545454544;Admissões
2008;Alojamento E Alimentação;29.721400543314218;Admissões
2008;Artes, Cultura, Esporte E Recreação;27.150537634408604;Admissões
2008;Atividades Administrativas E Serviços Complementares;30.35675113464448;Admissões
2008;Atividades Financeiras, De Seguros E Serviços Relacionados;22.10952380952381;Admissões
2008;Atividades Imobiliárias;30.152542372881356;Admissões
2008;Atividades Profissionais, Científicas E Técnicas;28.094533029612755;Admissões
2008;"Comércio; Reparação De Veículos Automotores E Motocicletas";27.45811937496549;Admissões
2008;Construção;34.004108650992926;Admissões
2008;Educação;31.886013986013985;Admissões
2008;Indústrias De Transformação;29.214633537270572;Admissões
2008;Indústrias Extrativas;26.0;Admissões
2008;Informação E Comunicação;28.73268292682927;Admissões
