ano;cnae_2_descricao_secao;salario_medio;variable
2007;Administração Pública, Defesa E Seguridade Social;691.5470730235365;Admissões
2007;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;508.49411764705883;Admissões
2007;Alojamento E Alimentação;578.900113507378;Admissões
2007;Artes, Cultura, Esporte E Recreação;532.9548387096775;Admissões
2007;Atividades Administrativas E Serviços Complementares;750.4201210287443;Admissões
2007;Atividades Financeiras, De Seguros E Serviços Relacionados;1212.9023722627737;Admissões
2007;Atividades Imobiliárias;677.1666666666666;Admissões
2007;Atividades Profissionais, Científicas E Técnicas;877.6952380952381;Admissões
2007;"Comércio; Reparação De Veículos Automotores E Motocicletas";674.6288667244869;Admissões
2007;Construção;665.3226687475615;Admissões
2007;Educação;919.7367915465899;Admissões
2007;Indústrias De Transformação;1097.975773031559;Admissões
2007;Informação E Comunicação;1125.9463601532566;Admissões
2007;Outras Atividades De Serviços;830.5403225806451;Admissões
2007;Saúde Humana E Serviços Sociais;811.7626666666666;Admissões
2007;Serviços Domésticos;550.0;Admissões
2007;Transporte, Armazenagem E Correio;771.4469387755101;Admissões
2007;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;699.0;Admissões
2008;Administração Pública, Defesa E Seguridade Social;664.340661421195;Admissões
2008;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;80.76945454545454;Admissões
2008;Alojamento E Alimentação;624.406934802294;Admissões
2008;Artes, Cultura, Esporte E Recreação;816.8860752688172;Admissões
2008;Atividades Administrativas E Serviços Complementares;730.7153857791226;Admissões
2008;Atividades Financeiras, De Seguros E Serviços Relacionados;1293.2822976190475;Admissões
2008;Atividades Imobiliárias;831.7033898305085;Admissões
2008;Atividades Profissionais, Científicas E Técnicas;816.7270956719818;Admissões
2008;"Comércio; Reparação De Veículos Automotores E Motocicletas";682.1848384959417;Admissões
2008;Construção;644.9849669025336;Admissões
2008;Educação;861.2605874125874;Admissões
2008;Indústrias De Transformação;1028.0654276439006;Admissões
2008;Indústrias Extrativas;678.0;Admissões
2008;Informação E Comunicação;875.3670243902438;Admissões
2008;Organismos Internacionais E Outras Instituições Extraterritoriais;510.0;Admissões
2008;Outras Atividades De Serviços;669.6715215311004;Admissões
2008;Saúde Humana E Serviços Sociais;692.1300859845228;Admissões
2008;Transporte, Armazenagem E Correio;743.4752057801354;Admissões
2008;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;685.669512195122;Admissões
2009;Administração Pública, Defesa E Seguridade Social;415.94501230193873;Admissões
2009;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;420.4182352941176;Admissões
2009;Alojamento E Alimentação;618.1373689956332;Admissões
2009;Artes, Cultura, Esporte E Recreação;530.8879723502304;Admissões
2009;Atividades Administrativas E Serviços Complementares;743.6671453834698;Admissões
2009;Atividades Financeiras, De Seguros E Serviços Relacionados;1339.0474134948097;Admissões
2009;Atividades Imobiliárias;708.2644827586206;Admissões
2009;Atividades Profissionais, Científicas E Técnicas;851.296830732293;Admissões
2009;"Comércio; Reparação De Veículos Automotores E Motocicletas";712.0408198410362;Admissões
2009;Construção;671.9982585803432;Admissões
2009;Educação;901.0521753986333;Admissões
2009;Indústrias De Transformação;1030.3328418935644;Admissões
2009;Informação E Comunicação;978.375888088173;Admissões
2009;Organismos Internacionais E Outras Instituições Extraterritoriais;643.375;Admissões
2009;Outras Atividades De Serviços;754.6599315068493;Admissões
2009;Saúde Humana E Serviços Sociais;786.695036028823;Admissões
2009;Serviços Domésticos;689.75;Admissões
2009;Transporte, Armazenagem E Correio;757.8950077760497;Admissões
2009;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;814.1078431372549;Admissões
2010;Administração Pública, Defesa E Seguridade Social;656.2700105894811;Admissões
2010;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;510.2862068965517;Admissões
2010;Alojamento E Alimentação;659.8161663260092;Admissões
2010;Artes, Cultura, Esporte E Recreação;517.4563311688312;Admissões
2010;Atividades Administrativas E Serviços Complementares;696.5298907638379;Admissões
2010;Atividades Financeiras, De Seguros E Serviços Relacionados;1362.6797437266418;Admissões
2010;Atividades Imobiliárias;717.5036082474228;Admissões
2010;Atividades Profissionais, Científicas E Técnicas;732.5370303712036;Admissões
2010;"Comércio; Reparação De Veículos Automotores E Motocicletas";742.3939566810258;Admissões
2010;Construção;724.8801803704907;Admissões
2010;Educação;868.3829197994987;Admissões
2010;Eletricidade E Gás;2854.0;Admissões
2010;Indústrias De Transformação;1165.5778827937963;Admissões
2010;Informação E Comunicação;854.2257112638816;Admissões
2010;Organismos Internacionais E Outras Instituições Extraterritoriais;873.8966789667896;Admissões
2010;Outras Atividades De Serviços;708.8092564745197;Admissões
2010;Saúde Humana E Serviços Sociais;858.2685011529593;Admissões
2010;Serviços Domésticos;575.4583333333334;Admissões
2010;Transporte, Armazenagem E Correio;852.3400702155453;Admissões
2010;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;970.5621621621622;Admissões
2011;Administração Pública, Defesa E Seguridade Social;757.7323584354933;Admissões
2011;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;622.1;Admissões
2011;Alojamento E Alimentação;706.9111547344111;Admissões
2011;Artes, Cultura, Esporte E Recreação;682.8643859649123;Admissões
2011;Atividades Administrativas E Serviços Complementares;812.5035506487227;Admissões
2011;Atividades Financeiras, De Seguros E Serviços Relacionados;1559.0695837957826;Admissões
2011;Atividades Imobiliárias;940.921327014218;Admissões
2011;Atividades Profissionais, Científicas E Técnicas;984.3448191293684;Admissões
2011;"Comércio; Reparação De Veículos Automotores E Motocicletas";818.3819651927099;Admissões
2011;Construção;713.1972015730053;Admissões
2011;Educação;867.9162626262627;Admissões
2011;Indústrias De Transformação;1344.9243344970544;Admissões
2011;Informação E Comunicação;993.7402458547741;Admissões
2011;Outras Atividades De Serviços;737.9202941176471;Admissões
2011;Saúde Humana E Serviços Sociais;964.2344896957801;Admissões
2011;Serviços Domésticos;231.26999999999998;Admissões
2011;Transporte, Armazenagem E Correio;919.6431000304972;Admissões
2011;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;989.5552631578947;Admissões
2012;Administração Pública, Defesa E Seguridade Social;918.7475968222444;Admissões
2012;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;483.51599999999996;Admissões
2012;Alojamento E Alimentação;809.043262402869;Admissões
2012;Artes, Cultura, Esporte E Recreação;748.0825641025641;Admissões
2012;Atividades Administrativas E Serviços Complementares;834.0577688331498;Admissões
2012;Atividades Financeiras, De Seguros E Serviços Relacionados;1580.9856348661633;Admissões
2012;Atividades Imobiliárias;1062.7101219512194;Admissões
2012;Atividades Profissionais, Científicas E Técnicas;964.0362950373894;Admissões
2012;"Comércio; Reparação De Veículos Automotores E Motocicletas";897.9150625804187;Admissões
2012;Construção;791.7864463342353;Admissões
2012;Educação;851.3089720946663;Admissões
2012;Indústrias De Transformação;1451.716942926147;Admissões
2012;Indústrias Extrativas;883.0369131832797;Admissões
2012;Informação E Comunicação;1437.0742401656314;Admissões
2012;Outras Atividades De Serviços;866.6532456140351;Admissões
2012;Saúde Humana E Serviços Sociais;791.9884432387313;Admissões
2012;Serviços Domésticos;182.83333333333334;Admissões
2012;Transporte, Armazenagem E Correio;1005.5227311762001;Admissões
2012;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;1161.9435294117648;Admissões
2013;Administração Pública, Defesa E Seguridade Social;1058.9843450442065;Admissões
2013;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;1141.7142857142858;Admissões
2013;Alojamento E Alimentação;872.9443191015783;Admissões
2013;Artes, Cultura, Esporte E Recreação;824.886368159204;Admissões
2013;Atividades Administrativas E Serviços Complementares;966.8674033240086;Admissões
2013;Atividades Financeiras, De Seguros E Serviços Relacionados;1595.8661167684998;Admissões
2013;Atividades Imobiliárias;1090.7546226415095;Admissões
2013;Atividades Profissionais, Científicas E Técnicas;1017.9750467289721;Admissões
2013;"Comércio; Reparação De Veículos Automotores E Motocicletas";954.0391313319308;Admissões
2013;Construção;781.7742000527148;Admissões
2013;Educação;905.5807355579475;Admissões
2013;Eletricidade E Gás;2852.0;Admissões
2013;Indústrias De Transformação;1625.297492989344;Admissões
2013;Indústrias Extrativas;1412.631868131868;Admissões
2013;Informação E Comunicação;1256.8172945945946;Admissões
2013;Organismos Internacionais E Outras Instituições Extraterritoriais;2044.388888888889;Admissões
2013;Outras Atividades De Serviços;857.3193498817967;Admissões
2013;Saúde Humana E Serviços Sociais;1159.8012242849975;Admissões
2013;Serviços Domésticos;688.2;Admissões
2013;Transporte, Armazenagem E Correio;1123.9917131018717;Admissões
2013;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;1049.4058348294436;Admissões
2014;Administração Pública, Defesa E Seguridade Social;1335.1504903893544;Admissões
2014;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;867.6666666666666;Admissões
2014;Alojamento E Alimentação;779.6446960424316;Admissões
2014;Artes, Cultura, Esporte E Recreação;1060.6797885196374;Admissões
2014;Atividades Administrativas E Serviços Complementares;929.0685294714759;Admissões
2014;Atividades Financeiras, De Seguros E Serviços Relacionados;1880.3973422712934;Admissões
2014;Atividades Imobiliárias;817.1826498422713;Admissões
2014;Atividades Profissionais, Científicas E Técnicas;1244.0580706921944;Admissões
2014;"Comércio; Reparação De Veículos Automotores E Motocicletas";1125.3745686070686;Admissões
2014;Construção;979.1788439220354;Admissões
2014;Educação;1008.728561067595;Admissões
2014;Indústrias De Transformação;1623.615459751309;Admissões
