ano;cnae_2_descricao_secao;saldo_movimentacao;salario_mensal
2007;Administração Pública, Defesa E Seguridade Social;3824;733.7795801526718
2007;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;32;558.2028985507246
2007;Alojamento E Alimentação;808;603.5949405981155
2007;Artes, Cultura, Esporte E Recreação;-122;531.449074074074
2007;Atividades Administrativas E Serviços Complementares;591;751.2561564652783
2007;Atividades Financeiras, De Seguros E Serviços Relacionados;262;1723.759067357513
2007;Atividades Imobiliárias;26;699.4157303370787
2007;Atividades Profissionais, Científicas E Técnicas;100;876.422972972973
2007;"Comércio; Reparação De Veículos Automotores E Motocicletas";2102;714.923699648025
2007;Construção;149;666.2933494072735
2007;Educação;98;1161.6542338709678
2007;Indústrias De Transformação;917;1243.5708021666237
2007;Informação E Comunicação;96;1280.4151606425703
2007;Outras Atividades De Serviços;-66;914.6853496115427
2007;Saúde Humana E Serviços Sociais;77;851.8664792691496
2007;Serviços Domésticos;-3;475.7142857142857
2007;Transporte, Armazenagem E Correio;813;810.4509847557583
2007;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;-81;697.7405857740586
2008;Administração Pública, Defesa E Seguridade Social;400;647.1651273002269
2008;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;-154;61.6970867768595
2008;Alojamento E Alimentação;884;639.5208853492885
2008;Artes, Cultura, Esporte E Recreação;-12;780.4558333333333
2008;Atividades Administrativas E Serviços Complementares;-473;728.8035602312139
2008;Atividades Financeiras, De Seguros E Serviços Relacionados;292;1583.7107398956975
2008;Atividades Imobiliárias;28;822.1105769230769
2008;Atividades Profissionais, Científicas E Técnicas;228;815.2931806282722
2008;"Comércio; Reparação De Veículos Automotores E Motocicletas";2368;716.8915330537012
2008;Construção;787;643.551979937304
2008;Educação;7;1057.6302909218368
2008;Indústrias De Transformação;558;1132.118625485123
2008;Indústrias Extrativas;-3;640.2857142857143
2008;Informação E Comunicação;167;1053.665616577676
2008;Organismos Internacionais E Outras Instituições Extraterritoriais;0;510.0
2008;Outras Atividades De Serviços;275;707.584258953168
2008;Saúde Humana E Serviços Sociais;177;736.1627873429502
2008;Serviços Domésticos;-6;764.0
2008;Transporte, Armazenagem E Correio;1178;780.4102911029111
2008;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;-238;743.1749375
2009;Administração Pública, Defesa E Seguridade Social;900;504.8015178663371
2009;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;3;463.00354838709677
2009;Alojamento E Alimentação;-228;679.0626336898396
2009;Artes, Cultura, Esporte E Recreação;86;648.5525574712644
2009;Atividades Administrativas E Serviços Complementares;812;759.8863784097505
2009;Atividades Financeiras, De Seguros E Serviços Relacionados;175;1892.6233645297145
2009;Atividades Imobiliárias;14;805.6453211009174
2009;Atividades Profissionais, Científicas E Técnicas;155;815.2209331568498
2009;"Comércio; Reparação De Veículos Automotores E Motocicletas";3354;751.3760048115477
2009;Construção;743;697.7384105960265
2009;Educação;249;1130.9588476861784
2009;Eletricidade E Gás;-1;508.0
2009;Indústrias De Transformação;-2473;1222.8717615739238
2009;Informação E Comunicação;476;1034.8026214049976
2009;Organismos Internacionais E Outras Instituições Extraterritoriais;9;638.6086956521739
2009;Outras Atividades De Serviços;148;835.3096571729958
2009;Saúde Humana E Serviços Sociais;207;833.4903404626801
2009;Serviços Domésticos;7;669.2222222222222
2009;Transporte, Armazenagem E Correio;417;801.8805115996353
2009;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;-78;882.4845390070923
2010;Administração Pública, Defesa E Seguridade Social;1982;616.9994459243474
2010;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;13;512.3622222222222
2010;Alojamento E Alimentação;1002;687.0287757608844
2010;Artes, Cultura, Esporte E Recreação;21;494.5408067226891
2010;Atividades Administrativas E Serviços Complementares;1887;724.4854801960524
2010;Atividades Financeiras, De Seguros E Serviços Relacionados;518;1671.0995972738538
2010;Atividades Imobiliárias;32;767.8888202247191
2010;Atividades Profissionais, Científicas E Técnicas;545;836.8896213882431
2010;"Comércio; Reparação De Veículos Automotores E Motocicletas";4293;780.1812614299878
2010;Construção;1098;756.3649678858161
2010;Educação;18;983.431216131065
2010;Eletricidade E Gás;0;3208.5
2010;Indústrias De Transformação;1862;1224.52992450438
2010;Informação E Comunicação;925;971.1137219460762
2010;Organismos Internacionais E Outras Instituições Extraterritoriais;111;821.5684454756381
2010;Outras Atividades De Serviços;164;792.6979686098655
2010;Saúde Humana E Serviços Sociais;81;871.1462118207061
2010;Serviços Domésticos;9;570.0333333333333
2010;Transporte, Armazenagem E Correio;979;888.6801428698197
2010;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;15;1038.1943661971832
2011;Administração Pública, Defesa E Seguridade Social;-1823;753.8282858789626
2011;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;-6;496.48346153846154
2011;Alojamento E Alimentação;349;743.4192112343329
2011;Artes, Cultura, Esporte E Recreação;58;720.0137109375
2011;Atividades Administrativas E Serviços Complementares;2177;852.8998334879201
2011;Atividades Financeiras, De Seguros E Serviços Relacionados;704;2024.9515999999999
2011;Atividades Imobiliárias;39;976.8770757180156
2011;Atividades Profissionais, Científicas E Técnicas;238;997.2044179894181
2011;"Comércio; Reparação De Veículos Automotores E Motocicletas";1700;870.8436114325388
2011;Construção;1102;734.8095696944898
2011;Educação;115;1024.413169728544
2011;Indústrias De Transformação;-340;1388.3556378534704
2011;Indústrias Extrativas;-1;1112.0
2011;Informação E Comunicação;583;1076.0681880555123
2011;Outras Atividades De Serviços;129;842.2577476677033
2011;Saúde Humana E Serviços Sociais;308;980.5569877919321
2011;Serviços Domésticos;0;549.635
2011;Transporte, Armazenagem E Correio;636;953.6211017628204
2011;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;18;1111.9719613259667
2012;Administração Pública, Defesa E Seguridade Social;-22;843.4272121262184
2012;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;3;547.0682352941176
2012;Alojamento E Alimentação;295;831.5735801642835
2012;Artes, Cultura, Esporte E Recreação;6;762.2450485436893
2012;Atividades Administrativas E Serviços Complementares;348;876.401202373785
2012;Atividades Financeiras, De Seguros E Serviços Relacionados;191;2282.418299669482
2012;Atividades Imobiliárias;54;1107.2470547945206
2012;Atividades Profissionais, Científicas E Técnicas;-35;1066.7762915686933
