ano;cnae_2_descricao_secao;saldo_movimentacao
2015;Administração Pública, Defesa E Seguridade Social;-5549
2023;Atividades Administrativas E Serviços Complementares;-5097
2017;Administração Pública, Defesa E Seguridade Social;-3544
2018;Administração Pública, Defesa E Seguridade Social;-2554
2009;Indústrias De Transformação;-2473
2016;"Comércio; Reparação De Veículos Automotores E Motocicletas";-2128
2016;Indústrias De Transformação;-2116
2015;Informação E Comunicação;-1823
2011;Administração Pública, Defesa E Seguridade Social;-1823
2017;Atividades Financeiras, De Seguros E Serviços Relacionados;-1747
2015;Indústrias De Transformação;-1675
2016;Construção;-1256
2016;Informação E Comunicação;-1183
2017;Indústrias De Transformação;-1132
2017;Saúde Humana E Serviços Sociais;-1114
2020;Atividades Financeiras, De Seguros E Serviços Relacionados;-983
2016;Administração Pública, Defesa E Seguridade Social;-934
2020;Alojamento E Alimentação;-925
2016;Atividades Administrativas E Serviços Complementares;-913
2014;Indústrias De Transformação;-811
2015;"Comércio; Reparação De Veículos Automotores E Motocicletas";-758
2015;Atividades Administrativas E Serviços Complementares;-754
2023;Atividades Financeiras, De Seguros E Serviços Relacionados;-739
2012;Indústrias De Transformação;-736
2019;Administração Pública, Defesa E Seguridade Social;-734
2012;Informação E Comunicação;-734
2016;Transporte, Armazenagem E Correio;-629
2016;Atividades Financeiras, De Seguros E Serviços Relacionados;-599
2019;Indústrias De Transformação;-553
2020;"Comércio; Reparação De Veículos Automotores E Motocicletas";-551
2022;"Comércio; Reparação De Veículos Automotores E Motocicletas";-540
2013;Indústrias De Transformação;-537
2020;Indústrias De Transformação;-519
2023;Atividades Profissionais, Científicas E Técnicas;-506
2019;Informação E Comunicação;-488
2018;Saúde Humana E Serviços Sociais;-485
2008;Atividades Administrativas E Serviços Complementares;-473
2020;Administração Pública, Defesa E Seguridade Social;-456
2015;Transporte, Armazenagem E Correio;-451
2017;Construção;-442
2016;Alojamento E Alimentação;-361
2011;Indústrias De Transformação;-340
2020;Transporte, Armazenagem E Correio;-301
2014;Transporte, Armazenagem E Correio;-291
2017;"Comércio; Reparação De Veículos Automotores E Motocicletas";-278
2017;Indústrias Extrativas;-271
2014;Educação;-270
2020;Educação;-248
2016;Atividades Profissionais, Científicas E Técnicas;-248
2017;Educação;-246
2008;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;-238
2015;Educação;-233
2016;Educação;-231
2009;Alojamento E Alimentação;-228
2023;"Comércio; Reparação De Veículos Automotores E Motocicletas";-221
2014;Outras Atividades De Serviços;-216
2019;"Comércio; Reparação De Veículos Automotores E Motocicletas";-190
2020;Informação E Comunicação;-183
2020;Outras Atividades De Serviços;-181
2015;Atividades Financeiras, De Seguros E Serviços Relacionados;-177
2017;Informação E Comunicação;-158
2008;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;-154
2013;Informação E Comunicação;-137
2014;Atividades Financeiras, De Seguros E Serviços Relacionados;-133
2018;Informação E Comunicação;-125
2007;Artes, Cultura, Esporte E Recreação;-122
2019;Indústrias Extrativas;-119
2020;Saúde Humana E Serviços Sociais;-118
2017;Outras Atividades De Serviços;-115
2022;Atividades Financeiras, De Seguros E Serviços Relacionados;-93
2007;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;-81
2018;Educação;-79
2009;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;-78
2017;Transporte, Armazenagem E Correio;-78
2023;Educação;-71
2019;Outras Atividades De Serviços;-69
2007;Outras Atividades De Serviços;-66
2020;Artes, Cultura, Esporte E Recreação;-56
2015;Indústrias Extrativas;-54
2015;Atividades Profissionais, Científicas E Técnicas;-49
2014;Atividades Imobiliárias;-49
2016;Outras Atividades De Serviços;-47
2018;Artes, Cultura, Esporte E Recreação;-44
2020;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;-41
2021;Outras Atividades De Serviços;-40
2013;Atividades Financeiras, De Seguros E Serviços Relacionados;-39
2012;Atividades Profissionais, Científicas E Técnicas;-35
2019;Saúde Humana E Serviços Sociais;-33
2015;Saúde Humana E Serviços Sociais;-33
2015;Alojamento E Alimentação;-32
2022;Atividades Imobiliárias;-31
2017;Atividades Administrativas E Serviços Complementares;-31
2020;Atividades Imobiliárias;-26
2014;Alojamento E Alimentação;-24
2016;Atividades Imobiliárias;-23
2014;Organismos Internacionais E Outras Instituições Extraterritoriais;-23
2012;Administração Pública, Defesa E Seguridade Social;-22
2017;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;-18
2021;Administração Pública, Defesa E Seguridade Social;-17
2023;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;-17
2015;Outras Atividades De Serviços;-17
2018;Outras Atividades De Serviços;-15
2024;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;-13
2018;Indústrias Extrativas;-13
2023;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;-13
2014;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;-13
2023;Atividades Imobiliárias;-13
2023;Indústrias De Transformação;-12
2008;Artes, Cultura, Esporte E Recreação;-12
2012;Serviços Domésticos;-11
2015;Eletricidade E Gás;-9
2019;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;-8
2012;Outras Atividades De Serviços;-7
2011;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;-6
2008;Serviços Domésticos;-6
2015;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;-6
2024;Artes, Cultura, Esporte E Recreação;-5
2015;Serviços Domésticos;-4
2024;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;-4
2019;Serviços Domésticos;-3
2007;Serviços Domésticos;-3
2008;Indústrias Extrativas;-3
2020;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;-2
2017;Serviços Domésticos;-2
2015;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;-1
2011;Indústrias Extrativas;-1
2018;Serviços Domésticos;-1
2009;Eletricidade E Gás;-1
2017;Organismos Internacionais E Outras Instituições Extraterritoriais;-1
2023;Indústrias Extrativas;-1
2016;Organismos Internacionais E Outras Instituições Extraterritoriais;-1
2014;Eletricidade E Gás;-1
2010;Eletricidade E Gás;0
2015;Organismos Internacionais E Outras Instituições Extraterritoriais;0
2013;Eletricidade E Gás;0
2008;Organismos Internacionais E Outras Instituições Extraterritoriais;0
2019;Atividades Imobiliárias;0
2011;Serviços Domésticos;0
2016;Eletricidade E Gás;0
2016;Serviços Domésticos;1
2022;Administração Pública, Defesa E Seguridade Social;1
2014;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;1
2018;Eletricidade E Gás;1
2021;Indústrias Extrativas;1
2013;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;2
2017;Atividades Imobiliárias;3
2012;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;3
2009;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;3
2014;Serviços Domésticos;4
2015;Atividades Imobiliárias;4
2013;Serviços Domésticos;4
2012;Artes, Cultura, Esporte E Recreação;6
2008;Educação;7
2021;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;7
2009;Serviços Domésticos;7
2022;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;8
2013;Organismos Internacionais E Outras Instituições Extraterritoriais;8
2018;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;9
2009;Organismos Internacionais E Outras Instituições Extraterritoriais;9
2010;Serviços Domésticos;9
2023;Administração Pública, Defesa E Seguridade Social;10
2013;Artes, Cultura, Esporte E Recreação;11
2022;Outras Atividades De Serviços;12
2017;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;12
2016;Artes, Cultura, Esporte E Recreação;13
2010;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;13
2009;Atividades Imobiliárias;14
2010;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;15
2013;Atividades Imobiliárias;16
2014;Atividades Profissionais, Científicas E Técnicas;16
2020;Construção;17
2021;Atividades Financeiras, De Seguros E Serviços Relacionados;17
2010;Educação;18
2011;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;18
2013;Indústrias Extrativas;19
2017;Artes, Cultura, Esporte E Recreação;21
2010;Artes, Cultura, Esporte E Recreação;21
2018;Atividades Imobiliárias;22
2024;Atividades Imobiliárias;25
2007;Atividades Imobiliárias;26
2008;Atividades Imobiliárias;28
2015;Artes, Cultura, Esporte E Recreação;29
2016;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;31
2007;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;32
2010;Atividades Imobiliárias;32
2011;Atividades Imobiliárias;39
2014;Indústrias Extrativas;39
2021;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;43
2019;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;47
2021;Atividades Imobiliárias;49
2012;Atividades Imobiliárias;54
2011;Artes, Cultura, Esporte E Recreação;58
2023;Artes, Cultura, Esporte E Recreação;61
2024;Administração Pública, Defesa E Seguridade Social;70
2023;Outras Atividades De Serviços;70
2014;Artes, Cultura, Esporte E Recreação;70
2016;Indústrias Extrativas;71
2021;Artes, Cultura, Esporte E Recreação;73
2007;Saúde Humana E Serviços Sociais;77
2010;Saúde Humana E Serviços Sociais;81
2009;Artes, Cultura, Esporte E Recreação;86
2019;Artes, Cultura, Esporte E Recreação;88
2012;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;93
2007;Informação E Comunicação;96
2007;Educação;98
2007;Atividades Profissionais, Científicas E Técnicas;100
2019;Transporte, Armazenagem E Correio;101
2019;Educação;102
2022;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;102
2018;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;106
2016;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;111
2010;Organismos Internacionais E Outras Instituições Extraterritoriais;111
2023;Alojamento E Alimentação;113
2011;Educação;115
2021;Educação;116
2024;Alojamento E Alimentação;123
2011;Outras Atividades De Serviços;129
2022;Artes, Cultura, Esporte E Recreação;131
2022;Construção;136
2024;Educação;146
2009;Outras Atividades De Serviços;148
2007;Construção;149
2009;Atividades Profissionais, Científicas E Técnicas;155
2014;Saúde Humana E Serviços Sociais;159
2013;Saúde Humana E Serviços Sociais;162
2010;Outras Atividades De Serviços;164
2019;Atividades Financeiras, De Seguros E Serviços Relacionados;165
2008;Informação E Comunicação;167
2009;Atividades Financeiras, De Seguros E Serviços Relacionados;175
2008;Saúde Humana E Serviços Sociais;177
2013;Transporte, Armazenagem E Correio;184
2013;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;185
2012;Atividades Financeiras, De Seguros E Serviços Relacionados;191
2013;Outras Atividades De Serviços;201
2009;Saúde Humana E Serviços Sociais;207
2013;Atividades Profissionais, Científicas E Técnicas;213
2017;Alojamento E Alimentação;223
2008;Atividades Profissionais, Científicas E Técnicas;228
2011;Atividades Profissionais, Científicas E Técnicas;238
2018;Transporte, Armazenagem E Correio;243
2009;Educação;249
2007;Atividades Financeiras, De Seguros E Serviços Relacionados;262
2022;Educação;270
2008;Outras Atividades De Serviços;275
2018;Atividades Administrativas E Serviços Complementares;292
2008;Atividades Financeiras, De Seguros E Serviços Relacionados;292
2012;Alojamento E Alimentação;295
2024;Atividades Administrativas E Serviços Complementares;307
2011;Saúde Humana E Serviços Sociais;308
2014;Administração Pública, Defesa E Seguridade Social;310
2012;Saúde Humana E Serviços Sociais;336
2024;Outras Atividades De Serviços;342
2019;Atividades Profissionais, Científicas E Técnicas;344
2013;Educação;344
2012;Atividades Administrativas E Serviços Complementares;348
2011;Alojamento E Alimentação;349
2024;"Comércio; Reparação De Veículos Automotores E Motocicletas";352
2018;Indústrias De Transformação;361
2008;Administração Pública, Defesa E Seguridade Social;400
2009;Transporte, Armazenagem E Correio;417
2014;Construção;421
2024;Saúde Humana E Serviços Sociais;427
2018;Alojamento E Alimentação;433
2022;Indústrias De Transformação;443
2018;Atividades Profissionais, Científicas E Técnicas;454
2013;Atividades Administrativas E Serviços Complementares;472
2009;Informação E Comunicação;476
2010;Atividades Financeiras, De Seguros E Serviços Relacionados;518
2012;Indústrias Extrativas;523
2010;Atividades Profissionais, Científicas E Técnicas;545
2008;Indústrias De Transformação;558
2019;Alojamento E Alimentação;566
2021;Alojamento E Alimentação;575
2022;Informação E Comunicação;582
2011;Informação E Comunicação;583
2007;Atividades Administrativas E Serviços Complementares;591
2012;Transporte, Armazenagem E Correio;594
2019;Construção;625
2012;Educação;627
2011;Transporte, Armazenagem E Correio;636
2023;Informação E Comunicação;645
2024;Indústrias De Transformação;652
2023;Saúde Humana E Serviços Sociais;655
2022;Alojamento E Alimentação;663
2013;Construção;670
2024;Atividades Profissionais, Científicas E Técnicas;684
2021;Saúde Humana E Serviços Sociais;686
2011;Atividades Financeiras, De Seguros E Serviços Relacionados;704
2009;Construção;743
2018;Atividades Financeiras, De Seguros E Serviços Relacionados;750
2024;Informação E Comunicação;750
2023;Construção;763
2017;Atividades Profissionais, Científicas E Técnicas;776
2008;Construção;787
2007;Alojamento E Alimentação;808
2021;Indústrias De Transformação;811
2009;Atividades Administrativas E Serviços Complementares;812
2007;Transporte, Armazenagem E Correio;813
2013;Alojamento E Alimentação;853
2021;Informação E Comunicação;878
2008;Alojamento E Alimentação;884
2014;Informação E Comunicação;896
2009;Administração Pública, Defesa E Seguridade Social;900
2007;Indústrias De Transformação;917
2010;Informação E Comunicação;925
2016;Saúde Humana E Serviços Sociais;928
2024;Construção;950
2019;Atividades Administrativas E Serviços Complementares;972
2012;Construção;973
2018;"Comércio; Reparação De Veículos Automotores E Motocicletas";975
2010;Transporte, Armazenagem E Correio;979
2022;Saúde Humana E Serviços Sociais;995
2010;Alojamento E Alimentação;1002
2012;"Comércio; Reparação De Veículos Automotores E Motocicletas";1034
2013;Administração Pública, Defesa E Seguridade Social;1036
2020;Atividades Profissionais, Científicas E Técnicas;1078
2010;Construção;1098
2011;Construção;1102
2015;Construção;1155
2008;Transporte, Armazenagem E Correio;1178
2024;Atividades Financeiras, De Seguros E Serviços Relacionados;1203
2014;"Comércio; Reparação De Veículos Automotores E Motocicletas";1381
