nivel_territorial_codigo;nivel_territorial;unidade_de_medida_codigo;unidade_de_medida;pib_corrente;municipio_codigo;municipio;ano_codigo;ano;variavel_codigo;variavel;ipca_normalizado;pib_deflacionado;variavel_dash
6;Município;40;Mil Reais;12418898.0;3534401;Osasco (SP);2002;2002;37;Produto Interno Bruto a preços correntes;0.3332630527715898;37264550.92071549;Total
6;Município;40;Mil Reais;2464449.0;3534401;Osasco (SP);2002;2002;543;Impostos, líquidos de subsídios, sobre produtos a preços correntes;0.3332630527715898;7394906.154475732;Impostos
6;Município;40;Mil Reais;143.0;3534401;Osasco (SP);2002;2002;513;Valor adicionado bruto a preços correntes da agropecuária;0.3332630527715898;429.0904701578445;Agropecuária
6;Município;40;Mil Reais;1191516.0;3534401;Osasco (SP);2002;2002;517;Valor adicionado bruto a preços correntes da indústria;0.3332630527715898;3575301.822661498;Indústria
6;Município;40;Mil Reais;8080029.0;3534401;Osasco (SP);2002;2002;6575;Valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social;0.3332630527715898;24245198.898594532;Serviços
6;Município;40;Mil Reais;682761.0;3534401;Osasco (SP);2002;2002;525;Valor adicionado bruto a preços correntes da administração, defesa, educação e saúde públicas e seguridade social;0.3332630527715898;2048714.9545135668;Administração
6;Município;40;Mil Reais;14144164.0;3534401;Osasco (SP);2003;2003;37;Produto Interno Bruto a preços correntes;0.36425651667934766;38830229.116946734;Total
6;Município;40;Mil Reais;2914547.0;3534401;Osasco (SP);2003;2003;543;Impostos, líquidos de subsídios, sobre produtos a preços correntes;0.36425651667934766;8001358.566127327;Impostos
6;Município;40;Mil Reais;164.0;3534401;Osasco (SP);2003;2003;513;Valor adicionado bruto a preços correntes da agropecuária;0.36425651667934766;450.2321646708328;Agropecuária
6;Município;40;Mil Reais;1391934.0;3534401;Osasco (SP);2003;2003;517;Valor adicionado bruto a preços correntes da indústria;0.36425651667934766;3821301.572554457;Indústria
6;Município;40;Mil Reais;9079456.0;3534401;Osasco (SP);2003;2003;6575;Valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social;0.36425651667934766;24925994.688497443;Serviços
6;Município;40;Mil Reais;758063.0;3534401;Osasco (SP);2003;2003;525;Valor adicionado bruto a preços correntes da administração, defesa, educação e saúde públicas e seguridade social;0.36425651667934766;2081124.0576028384;Administração
6;Município;40;Mil Reais;16232642.0;3534401;Osasco (SP);2004;2004;37;Produto Interno Bruto a preços correntes;0.3919400119469781;41416138.96311245;Total
6;Município;40;Mil Reais;3254631.0;3534401;Osasco (SP);2004;2004;543;Impostos, líquidos de subsídios, sobre produtos a preços correntes;0.3919400119469781;8303900.85419574;Impostos
6;Município;40;Mil Reais;158.0;3534401;Osasco (SP);2004;2004;513;Valor adicionado bruto a preços correntes da agropecuária;0.3919400119469781;403.1229146907674;Agropecuária
6;Município;40;Mil Reais;1710384.0;3534401;Osasco (SP);2004;2004;517;Valor adicionado bruto a preços correntes da indústria;0.3919400119469781;4363892.299496541;Indústria
6;Município;40;Mil Reais;10437915.0;3534401;Osasco (SP);2004;2004;6575;Valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social;0.3919400119469781;26631409.60819292;Serviços
6;Município;40;Mil Reais;829555.0;3534401;Osasco (SP);2004;2004;525;Valor adicionado bruto a preços correntes da administração, defesa, educação e saúde públicas e seguridade social;0.3919400119469781;2116535.629723415;Administração
6;Município;40;Mil Reais;19508747.0;3534401;Osasco (SP);2005;2005;37;Produto Interno Bruto a preços correntes;0.4142413986267611;47095116.67513881;Total
6;Município;40;Mil Reais;3464551.0;3534401;Osasco (SP);2005;2005;543;Impostos, líquidos de subsídios, sobre produtos a preços correntes;0.4142413986267611;8363603.955290867;Impostos
6;Município;40;Mil Reais;165.0;3534401;Osasco (SP);2005;2005;513;Valor adicionado bruto a preços correntes da agropecuária;0.4142413986267611;398.31846973041905;Agropecuária
6;Município;40;Mil Reais;2002769.0;3534401;Osasco (SP);2005;2005;517;Valor adicionado bruto a preços correntes da indústria;0.4142413986267611;4834787.171536495;Indústria
6;Município;40;Mil Reais;13074422.0;3534401;Osasco (SP);2005;2005;6575;Valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social;0.4142413986267611;31562325.84030136;Serviços
6;Município;40;Mil Reais;966840.0;3534401;Osasco (SP);2005;2005;525;Valor adicionado bruto a preços correntes da administração, defesa, educação e saúde públicas e seguridade social;0.4142413986267611;2334001.389540354;Administração
6;Município;40;Mil Reais;20967398.0;3534401;Osasco (SP);2006;2006;37;Produto Interno Bruto a preços correntes;0.42724857854364146;49075407.27571614;Total
6;Município;40;Mil Reais;3492161.0;3534401;Osasco (SP);2006;2006;543;Impostos, líquidos de subsídios, sobre produtos a preços correntes;0.42724857854364146;8173604.724218625;Impostos
6;Município;40;Mil Reais;226.0;3534401;Osasco (SP);2006;2006;513;Valor adicionado bruto a preços correntes da agropecuária;0.42724857854364146;528.96606647672;Agropecuária
6;Município;40;Mil Reais;1900291.0;3534401;Osasco (SP);2006;2006;517;Valor adicionado bruto a preços correntes da indústria;0.42724857854364146;4447740.9532350125;Indústria
6;Município;40;Mil Reais;14514852.0;3534401;Osasco (SP);2006;2006;6575;Valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social;0.42724857854364146;33972850.300582975;Serviços
6;Município;40;Mil Reais;1059869.0;3534401;Osasco (SP);2006;2006;525;Valor adicionado bruto a preços correntes da administração, defesa, educação e saúde públicas e seguridade social;0.42724857854364146;2480684.672170862;Administração
6;Município;40;Mil Reais;24427545.0;3534401;Osasco (SP);2007;2007;37;Produto Interno Bruto a preços correntes;0.44630386514668785;54732990.02680906;Total
6;Município;40;Mil Reais;4262621.0;3534401;Osasco (SP);2007;2007;543;Impostos, líquidos de subsídios, sobre produtos a preços correntes;0.44630386514668785;9550939.01908959;Impostos
6;Município;40;Mil Reais;226.0;3534401;Osasco (SP);2007;2007;513;Valor adicionado bruto a preços correntes da agropecuária;0.44630386514668785;506.38145364418926;Agropecuária
6;Município;40;Mil Reais;2041201.0;3534401;Osasco (SP);2007;2007;517;Valor adicionado bruto a preços correntes da indústria;0.44630386514668785;4573567.829911384;Indústria
6;Município;40;Mil Reais;16822884.0;3534401;Osasco (SP);2007;2007;6575;Valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social;0.44630386514668785;37693789.621272445;Serviços
6;Município;40;Mil Reais;1300613.0;3534401;Osasco (SP);2007;2007;525;Valor adicionado bruto a preços correntes da administração, defesa, educação e saúde públicas e seguridade social;0.44630386514668785;2914187.1750819907;Administração
6;Município;40;Mil Reais;32426014.0;3534401;Osasco (SP);2008;2008;37;Produto Interno Bruto a preços correntes;0.4726357931903424;68606767.55165097;Total
6;Município;40;Mil Reais;6919672.0;3534401;Osasco (SP);2008;2008;543;Impostos, líquidos de subsídios, sobre produtos a preços correntes;0.4726357931903424;14640600.859472513;Impostos
