ano;descricao_secao_cnae;quantidade_vinculos_ativos
1994;Administração pública, defesa e seguridade social;10663
1994;Agricultura, pecuária, silvicultura e exploração florestal;19
1994;Alojamento e alimentação;2150
1994;Atividades imobiliárias, aluguéis e serviços prestados às empresas;4272
1994;"Comércio; reparação de veículos automotores, objetos pessoais e domésticos";14168
1994;Construção;1436
1994;Indústrias de transformação;25383
1994;Indústrias extrativas;26
1994;Intermediação financeira, seguros, previdência complementar e serviços relacionados;13948
1994;Outros serviços coletivos, sociais e pessoais;4228
1994;Produção e distribuição de eletricidade, gás e água;25
1994;Saúde e serviços sociais;1902
1994;Transporte, armazenagem e comunicações;8837
1995;Administração pública, defesa e seguridade social;10373
1995;Agricultura, pecuária, silvicultura e exploração florestal;25
1995;Alojamento e alimentação;3625
1995;Atividades imobiliárias, aluguéis e serviços prestados às empresas;5111
1995;"Comércio; reparação de veículos automotores, objetos pessoais e domésticos";18037
1995;Construção;1910
1995;Indústrias de transformação;22985
1995;Indústrias extrativas;0
1995;Intermediação financeira, seguros, previdência complementar e serviços relacionados;12125
1995;Outros serviços coletivos, sociais e pessoais;2002
1995;Pesca;0
1995;Produção e distribuição de eletricidade, gás e água;23
1995;Saúde e serviços sociais;2174
1995;Serviços domésticos;12
1995;Transporte, armazenagem e comunicações;6785
1996;Administração pública, defesa e seguridade social;13313
1996;Agricultura, pecuária, silvicultura e exploração florestal;20
1996;Alojamento e alimentação;2943
1996;Atividades imobiliárias, aluguéis e serviços prestados às empresas;5207
1996;"Comércio; reparação de veículos automotores, objetos pessoais e domésticos";18963
1996;Construção;1305
1996;Indústrias de transformação;21767
1996;Indústrias extrativas;0
1996;Intermediação financeira, seguros, previdência complementar e serviços relacionados;2022
1996;Organismos internacionais e outras instituições extraterritoriais;0
1996;Outros serviços coletivos, sociais e pessoais;5041
1996;Produção e distribuição de eletricidade, gás e água;13
1996;Saúde e serviços sociais;2662
1996;Serviços domésticos;7
1996;Transporte, armazenagem e comunicações;7129
1997;Administração pública, defesa e seguridade social;10410
1997;Agricultura, pecuária, silvicultura e exploração florestal;14
1997;Alojamento e alimentação;3254
1997;Atividades imobiliárias, aluguéis e serviços prestados às empresas;5464
1997;"Comércio; reparação de veículos automotores, objetos pessoais e domésticos";17454
1997;Construção;1375
1997;Indústrias de transformação;18791
1997;Indústrias extrativas;0
1997;Intermediação financeira, seguros, previdência complementar e serviços relacionados;10160
1997;Organismos internacionais e outras instituições extraterritoriais;4
1997;Outros serviços coletivos, sociais e pessoais;5515
1997;Pesca;0
1997;Produção e distribuição de eletricidade, gás e água;15
1997;Saúde e serviços sociais;2292
1997;Transporte, armazenagem e comunicações;8177
1998;Administração pública, defesa e seguridade social;11047
1998;Agricultura, pecuária, silvicultura e exploração florestal;8
1998;Alojamento e alimentação;4338
1998;Atividades imobiliárias, aluguéis e serviços prestados às empresas;5936
1998;"Comércio; reparação de veículos automotores, objetos pessoais e domésticos";17857
1998;Construção;1676
1998;Indústrias de transformação;18417
1998;Indústrias extrativas;0
1998;Intermediação financeira, seguros, previdência complementar e serviços relacionados;12502
1998;Organismos internacionais e outras instituições extraterritoriais;2
1998;Outros serviços coletivos, sociais e pessoais;4846
1998;Pesca;0
1998;Produção e distribuição de eletricidade, gás e água;15
1998;Saúde e serviços sociais;2487
1998;Serviços domésticos;0
1998;Transporte, armazenagem e comunicações;8292
1999;Administração pública, defesa e seguridade social;11315
1999;Agricultura, pecuária, silvicultura e exploração florestal;6
1999;Alojamento e alimentação;4775
1999;Atividades imobiliárias, aluguéis e serviços prestados às empresas;7000
